occPerM, word
24712, a
46, ability
214, able
3701, about
52, above
153, absolutely
52, abt
53, accept
78, access
55, according
197, account
103, across
161, act
75, acting
115, action
50, actual
479, actually
72, ad
55, adam
179, add
70, added
41, addicted
45, adding
81, address
56, admit
54, adorable
43, adult
113, advice
48, af
77, afraid
976, after
156, afternoon
896, again
204, against
109, age
241, ago
268, agree
107, agreed
236, ah
109, ahead
111, aint
208, ain't
152, air
72, airport
45, aka
67, al
182, album
90, alive
4891, all
50, allow
54, allowed
358, almost
158, alone
146, along
76, alot
583, already
107, alright
644, also
57, although
1170, always
1938, am
799, amazing
60, amen
136, america
195, american
45, americans
45, among
52, amount
2649, an
17577, and
48, android
52, angry
41, animal
60, anniversary
42, announce
41, announced
98, annoying
68, annual
672, another
172, answer
44, answers
1099, any
93, anybody
187, anymore
648, anyone
469, anything
67, anytime
104, anyway
59, anywhere
49, apart
48, apartment
204, app
118, apparently
103, apple
41, apply
213, appreciate
58, appreciated
65, apps
171, april
6450, are
159, area
179, aren't
40, arms
601, around
45, arrived
228, art
132, article
114, artist
79, artists
63, arts
2871, as
75, asap
372, ask
165, asked
118, asking
97, asleep
7530, at
84, ate
71, atlanta
55, attack
51, attend
58, attending
120, attention
49, attitude
60, audience
45, audition
52, august
221, austin
55, author
162, available
50, ave
74, avengers
50, average
56, avoid
131, aw
72, awake
82, award
66, awards
542, away
988, awesome
57, awful
46, awhile
132, awkward
74, babe
47, babies
447, baby
2334, back
48, background
72, bacon
833, bad
89, bag
162, ball
61, balls
73, baltimore
198, band
62, bands
65, bank
209, bar
44, base
138, baseball
89, based
44, basically
125, basketball
46, bathroom
60, battle
75, bay
54, bbq
144, bc
115, bday
7604, be
162, beach
52, bear
48, bears
48, beast
233, beat
71, beats
537, beautiful
87, beauty
929, because
185, become
50, becoming
342, bed
42, beef
1772, been
248, beer
40, beers
778, before
96, begin
73, beginning
62, begins
180, behind
949, being
450, believe
49, bell
52, ben
49, benefit
41, besides
1472, best
182, bet
1237, better
239, between
84, beyond
953, big
73, bigger
112, biggest
90, bike
127, bill
41, billion
55, bird
46, birds
657, birthday
251, bit
62, biz
308, black
43, blah
68, blame
90, blast
83, bless
103, blessed
79, block
216, blog
80, blood
65, blow
162, blue
115, board
61, bob
188, body
43, bomb
107, boo
481, book
183, books
75, booth
155, bored
93, boring
97, born
81, boss
128, boston
434, both
69, bottle
56, bottom
147, bought
273, bout
112, bowl
116, box
273, boy
125, boyfriend
225, boys
96, brain
102, brand
54, bread
302, break
161, breakfast
92, breaking
45, breath
91, brewers
49, brian
56, bright
49, brilliant
361, bring
75, bringing
56, brings
306, bro
102, broke
84, broken
171, brother
55, brothers
89, brought
113, brown
53, brunch
116, btw
58, bucks
107, buddy
53, budget
92, build
130, building
65, bulls
53, bullshit
87, bunch
58, burger
52, burn
145, bus
360, business
221, busy
5040, but
51, butter
62, button
341, buy
79, buying
2398, by
82, bye
60, ca
50, cafe
112, cake
63, california
766, call
300, called
120, calling
102, calls
44, calm
299, came
65, camera
70, camp
72, campaign
67, campus
3605, can
70, cancer
59, candy
157, cannot
360, cant
1841, can't
49, caps
354, car
131, card
76, cards
374, care
97, career
43, careful
51, cares
47, carry
57, cars
162, case
70, cash
56, cast
124, cat
192, catch
56, catching
81, cats
93, caught
395, cause
110, cc
76, cd
113, celebrate
62, celebrating
41, celebration
52, cell
41, celtics
171, center
57, central
63, certain
48, certainly
41, chair
77, challenge
49, championship
254, chance
431, change
113, changed
74, changes
61, changing
81, channel
45, chapter
70, character
44, characters
50, charge
41, charles
111, chat
59, cheap
810, check
66, checked
91, checking
43, cheer
78, cheers
126, cheese
244, chicago
54, chick
134, chicken
121, child
125, children
69, chill
42, chillin
41, china
49, chinese
140, chocolate
125, choice
95, choose
233, christmas
126, church
44, cinco
398, city
470, class
97, classes
76, classic
114, clean
69, cleaning
86, clear
62, clearly
58, click
66, client
63, clients
252, close
87, closed
62, closer
42, closing
78, clothes
208, club
62, co
120, coach
70, coast
101, code
304, coffee
215, cold
51, collection
220, college
100, color
1624, come
57, comedy
256, comes
771, coming
70, comment
61, comments
102, commercial
41, commercials
69, common
168, community
51, companies
171, company
54, competition
95, complete
101, completely
120, computer
161, concert
183, conference
61, confused
458, congrats
140, congratulations
76, connect
68, consider
48, considering
150, contact
108, content
93, contest
73, continue
41, continues
43, contract
111, control
97, conversation
54, cook
65, cookies
55, cooking
693, cool
80, copy
63, corner
58, correct
71, cost
42, couch
1079, could
187, couldn't
105, count
41, counting
162, country
80, county
195, couple
284, course
72, court
59, cousin
151, cover
42, coverage
47, crack
109, crap
43, crash
430, crazy
110, cream
117, create
58, created
56, creating
82, creative
83, credit
47, creepy
94, crew
62, cross
71, crowd
45, crush
130, cry
84, crying
55, culture
108, cup
53, curious
71, current
89, currently
79, customer
67, customers
174, cut
282, cute
206, cuz
193, dad
55, daddy
109, daily
88, dallas
223, dance
83, dancing
62, dang
110, dark
78, dat
132, data
188, date
44, dates
41, dating
90, daughter
48, dave
3657, day
759, days
185, dead
210, deal
54, deals
202, dear
125, death
49, debate
70, decide
85, decided
71, decision
49, decisions
101, deep
83, def
66, defense
287, definitely
46, degree
61, degrees
114, delicious
90, denver
50, depends
92, deserve
43, deserves
137, design
56, desk
132, details
57, detroit
51, development
1595, did
720, didn't
183, die
94, died
93, diego
59, diet
102, difference
240, different
55, difficult
52, dig
104, digital
297, dinner
53, direct
87, direction
51, director
81, dirty
46, disappointed
53, discuss
65, discussion
41, district
88, dj
4280, do
48, doctor
798, does
525, doesn't
233, dog
86, dogs
861, doing
47, dollar
51, dollars
699, done
3048, don't
136, door
51, doors
58, dope
108, double
92, doubt
1125, down
58, download
111, downtown
111, dr
99, draft
70, drama
