predictor;occPerM;word
a;1066;great
a;799;good
a;537;lot
a;476;new
a;434;little
a;395;few
a;234;big
a;195;long
a;181;day
a;173;bit
a;147;couple
a;144;while
a;141;very
a;140;man
a;135;nice
a;134;bad
a;130;week
a;122;chance
a;121;free
a;120;beautiful
a;119;year
a;114;huge
a;113;wonderful
a;108;girl
a;101;better
a;96;real
a;96;friend
a;89;guy
a;89;game
a;88;happy
a;86;fan
a;82;way
a;80;job
a;79;bunch
a;78;time
a;75;blast
a;75;fun
a;75;whole
a;70;movie
a;69;woman
a;67;month
a;66;really
a;65;book
a;65;person
a;64;twitter
a;64;show
a;63;song
a;59;picture
a;59;part
a;58;dream
a;56;pretty
a;56;car
a;55;special
a;53;small
a;52;minute
a;52;joke
a;51;full
a;50;problem
a;50;place
a;49;life
a;48;follow
a;48;tweet
a;48;second
a;48;reason
a;47;break
a;47;million
a;47;hot
a;46;nap
a;46;true
a;46;half
a;45;party
a;45;call
a;44;different
a;44;pic
a;44;row
a;44;kid
a;44;thing
a;44;perfect
a;43;single
a;43;night
a;42;video
a;42;baby
a;41;difference
a;41;fantastic
a;41;drink
a;40;team
a;39;question
a;39;trip
a;39;beer
a;38;gift
a;38;story
a;37;shot
a;37;hard
a;36;shout
a;36;cool
a;36;relationship
a;35;dog
a;35;run
a;34;quick
a;34;lovely
a;33;link
a;33;child
a;32;look
a;32;copy
a;31;piece
a;31;safe
a;31;smile
a;30;message
a;30;pair
a;30;word
a;30;plan
a;30;crazy
a;30;date
a;29;short
a;29;business
a;29;black
a;28;phone
a;28;major
a;28;high
a;28;house
a;28;shoutout
a;27;walk
a;27;boy
a;27;must
a;27;more
a;27;cold
a;26;busy
a;26;world
a;26;strong
a;26;win
a;26;moment
a;26;group
a;26;white
a;26;super
a;26;heart
a;25;sign
a;25;certain
a;25;home
a;25;photo
a;25;feeling
a;25;ride
a;25;hour
a;24;family
a;24;sweet
a;24;total
a;24;text
a;24;class
a;24;bottle
a;23;local
a;23;meeting
a;23;ticket
a;23;glass
a;23;change
a;23;fabulous
a;22;tough
a;22;social
a;22;terrible
a;22;point
a;22;live
a;22;cup
a;22;success
a;21;secret
a;21;shower
a;21;plane
a;21;large
a;21;min
a;21;first
a;21;matter
a;21;box
a;21;fool
a;21;pleasure
a;21;fight
a;21;bar
a;21;list
a;21;winner
a;21;cute
a;21;mess
a;21;friday
a;20;room
a;20;star
a;20;complete
a;20;number
a;20;project
a;20;member
a;20;giant
a;20;blog
a;20;blessed
a;20;brand
a;20;successful
a;20;beast
a;19;double
a;19;solid
a;19;deal
a;19;red
a;19;saturday
a;19;one
a;19;lie
a;19;hit
a;19;serious
a;19;test
a;19;cat
a;19;mistake
a;19;student
a;18;goal
a;18;young
a;18;personal
a;18;waste
a;18;wedding
a;18;much
a;18;boss
a;18;weekend
a;18;band
a;18;try
a;18;top
a;18;living
a;18;lady
a;18;conversation
a;17;website
a;17;sunday
a;17;fire
a;17;tv
a;17;bag
a;17;favor
a;17;headache
a;17;simple
a;17;hug
a;17;fine
a;17;positive
a;17;sad
a;17;line
a;17;mile
a;16;school
a;16;music
a;16;late
a;16;coffee
a;16;shame
a;16;visit
a;16;paper
a;16;healthy
a;16;genius
a;16;concert
a;16;computer
a;16;fat
a;16;rock
a;16;series
a;16;smart
a;16;fake
a;16;regular
a;16;love
a;16;surprise
a;16;classic
a;16;funny
a;15;bike
a;15;horrible
a;15;weird
a;15;birthday
a;15;female
a;15;guest
a;15;no
a;15;mi
a;15;private
a;15;stupid
a;15;facebook
a;15;case
a;15;client
a;15;teacher
a;15;record
a;15;tree
a;15;human
a;15;random
a;15;shirt
a;15;choice
a;15;gun
a;15;leader
a;14;bus
a;14;god
a;14;wish
a;14;reality
a;14;fresh
a;14;bigger
a;14;favorite
a;14;professional
a;14;bird
a;14;city
a;14;rt
a;14;crush
a;14;public
a;14;gorgeous
a;14;close
a;14;play
a;14;rough
a;14;player
a;14;dude
a;14;film
a;14;dollar
a;14;productive
a;14;reminder
a;14;company
a;13;horse
a;13;conference
a;13;warm
a;13;monday
a;13;boyfriend
a;13;dead
a;13;broken
a;13;state
a;13;commercial
a;13;tour
a;13;summer
a;13;hoe
a;13;wild
a;13;table
a;13;ball
a;13;light
a;13;mother
a;13;hole
a;13;letter
a;13;college
a;13;spot
a;13;lead
a;13;i
a;13;leg
a;12;holiday
a;12;voice
a;12;restaurant
a;12;massage
a;12;country
a;12;work
a;12;kind
a;12;bowl
a;12;career
a;12;mini
a;12;powerful
a;12;page
a;12;girlfriend
a;12;train
a;12;tattoo
a;12;in
a;12;delicious
a;12;name
a;12;dress
a;12;mom
a;12;on
a;12;killer
a;12;fellow
a;12;dance
a;12;challenge
a;12;kiss
a;12;direct
a;12;future
a;12;library
a;12;sick
a;12;vacation
a;11;post
a;11;baseball
a;11;cover
a;11;lesson
a;11;model
a;11;ring
a;11;former
a;11;hotel
a;11;normal
a;11;deep
a;11;season
a;11;sense
a;11;pool
a;11;food
a;11;final
a;11;a
a;11;hand
a;11;side
a;11;treat
a;11;tool
a;11;national
a;11;christmas
a;11;pain
a;11;pro
a;11;set
a;11;workout
a;11;green
a;11;daily
a;11;senior
a;10;note
a;10;presentation
a;10;go
a;10;for
a;10;sports
a;10;digital
a;10;straight
a;10;two
a;10;morning
a;10;gay
a;10;follower
a;10;fair
a;10;hat
a;10;wise
a;10;natural
a;10;clear
a;10;and
a;10;flight
a;10;sexy
a;10;poor
a;10;road
a;10;dirty
a;10;customer
a;10;billion
a;10;chicken
a;10;slow
a;10;fish
a;10;strange
a;10;thought
a;10;truck
a;10;wall
a;10;web
a;10;step
a;10;seat
a;10;review
a;10;well
a;10;pack
a;10;mission
a;10;fact
a;10;right
a;9;third
a;9;club
a;9;google
a;9;community
a;9;stop
a;9;storm
a;9;talk
a;9;loss
a;9;track
a;9;decision
a;9;beat
a;9;master
a;9;playoff
a;9;football
a;9;grand
a;9;higher
a;9;block
a;9;rainy
a;9;role
a;9;dark
a;9;mobile
a;9;quote
a;9;site
a;9;quiet
a;9;roll
a;9;lucky
a;9;lazy
a;9;power
a;9;chick
a;9;race
a;9;la
a;9;proud
a;9;listen
a;9;pet
a;9;sandwich
a;9;product
a;9;key
a;9;contest
a;9;dumb
a;9;doctor
a;9;pizza
a;8;burger
a;8;gig
a;8;tie
