occPerM; word
37865; the
31891; to
28965; i
24712; a
22109; you
17577; and
15608; for
15328; in
14571; of
14495; is
11837; it
11808; my
11231; on
9457; that
8116; me
7604; be
7530; at
7028; with
6946; your
6812; have
6617; so
6602; this
6450; are
6100; just
5367; we
5192; i'm
5040; but
4980; not
4922; like
4891; all
4763; was
4648; out
4615; up
4552; get
4499; what
4293; love
4292; if
4280; do
4044; good
3844; will
3701; about
3657; day
3617; thanks
3609; rt
3605; can
3381; from
3371; it's
3331; now
3322; when
3296; one
3212; know
3125; no
3111; u
3053; great
3048; don't
3029; time
3016; how
2898; go
2877; today
2871; as
2820; new
2804; they
2795; or
2708; lol
2692; see
2649; an
2525; more
2506; our
2500; some
2441; there
2398; by
2362; too
2334; back
2271; going
2264; he
2256; got
2229; who
2195; think
2097; would
2088; people
2062; need
2025; us
1968; happy
1949; want
1938; am
1925; follow
1921; make
1882; has
1850; right
1841; can't
1839; really
1793; much
1772; been
1764; tonight
1705; had
1697; work
1645; night
1624; come
1609; thank
1595; did
1581; only
1570; them
1548; why
1539; well
1524; its
1518; still
1516; last
1501; you're
1491; here
1489; way
1472; best
1467; should
1455; off
1417; hope
1412; that's
1389; his
1378; never
1352; her
1335; life
1308; than
1304; then
1297; oh
1287; say
1263; over
1259; first
1257; show
1254; im
1240; next
1237; better
1219; game
1214; twitter
1205; please
1196; she
1170; always
1161; their
1144; tomorrow
1140; week
1134; take
1128; yes
1125; down
1108; i'll
1105; him
1099; any
1089; man
1080; were
1079; could
1076; year
1074; wait
1068; where
1066; haha
1055; morning
1041; getting
1038; even
1034; hey
1030; looking
1023; very
1012; everyone
1011; look
1007; ever
1000; sure
991; feel
988; awesome
976; after
975; d
971; home
961; let
953; big
949; being
934; fun
929; because
913; something
913; weekend
896; again
893; keep
889; nice
887; gonna
885; i've
875; yeah
873; into
869; thing
861; doing
853; things
850; school
840; someone
836; world
835; guys
833; bad
824; help
816; free
813; those
813; th
810; check
802; watching
800; miss
799; every
799; amazing
798; does
795; soon
793; live
790; other
782; tweet
778; tell
778; before
771; coming
770; give
769; long
766; music
766; call
762; may
762; made
762; little
762; many
759; days
746; pm
746; stop
743; friends
742; hate
738; w
735; most
733; same
730; wish
725; said
720; didn't
711; start
707; find
703; girl
699; ready
699; done
693; cool
691; shit
688; we're
681; two
680; god
677; watch
676; pretty
674; play
672; another
663; real
663; old
657; birthday
655; win
649; these
648; anyone
647; talk
644; also
639; use
629; excited
622; working
621; friday
617; having
615; hear
613; what's
610; s
609; hard
603; dont
601; around
595; ur
594; sorry
594; try
593; thought
591; while
587; team
583; already
574; wanna
574; put
573; maybe
572; makes
569; glad
569; though
552; lot
548; house
546; ok
546; trying
544; ya
542; away
542; years
539; forward
539; job
537; beautiful
536; nothing
534; yet
530; party
530; sleep
528; looks
528; st
527; following
525; true
525; doesn't
524; saw
523; everything
519; wow
519; song
517; friend
516; welcome
516; guy
513; he's
511; favorite
508; through
507; let's
505; ass
505; mean
502; making
497; until
494; might
492; must
490; name
488; fuck
486; food
484; stay
481; book
479; actually
477; person
476; read
476; damn
473; family
472; few
470; class
470; end
469; anything
468; hit
465; which
464; money
463; phone
459; omg
459; since
458; congrats
457; place
451; open
450; believe
447; baby
447; playing
446; gotta
446; mom
444; movie
442; video
440; guess
437; n
434; both
433; kids
431; i'd
431; change
430; own
430; hot
430; crazy
430; such
428; news
424; sounds
424; season
422; support
421; run
420; finally
420; remember
420; head
418; talking
414; went
413; funny
413; email
411; else
410; p
410; followers
408; stuff
408; meet
407; enjoy
406; says
406; summer
403; enough
401; without
401; left
401; there's
398; thinking
398; city
398; hi
397; times
395; part
395; cause
393; early
391; hours
389; luck
388; mind
385; high
385; word
378; heard
378; facebook
378; far
377; needs
374; care
373; tweets
373; r
372; ask
372; hell
371; heart
371; myself
368; ha
364; b
364; fan
363; send
363; girls
361; bring
360; isn't
360; business
360; cant
360; seen
358; almost
358; wrong
358; kind
354; car
353; haven't
352; we'll
352; feeling
350; least
349; won't
349; saturday
349; idea
349; hour
342; bed
342; eat
341; face
341; sunday
341; used
341; buy
340; probably
339; fans
338; late
335; sweet
335; hair
334; gets
334; dude
332; post
332; la
331; full
331; taking
331; okay
330; found
330; yourself
329; meeting
325; room
322; once
322; social
320; bitch
319; whole
317; event
315; seeing
315; lmao
314; together
312; story
312; tv
312; sad
312; monday
311; perfect
310; super
309; sometimes
309; listening
308; black
307; lunch
306; yesterday
306; bro
306; they're
305; top
305; games
305; rock
304; coffee
302; break
302; forget
302; told
302; reading
301; point
300; join
300; called
299; came
298; set
297; dinner
297; waiting
296; fucking
295; lost
293; text
292; special
290; saying
287; red
287; definitely
287; leave
285; weather
285; thats
284; course
283; seriously
283; minutes
283; media
282; cute
282; starting
281; o
280; half
278; goes
276; problem
276; words
275; learn
274; moment
273; boy
273; bout
269; line
268; agree
267; state
266; she's
265; wants
265; started
265; move
264; month
264; pick
264; white
263; later
263; yo
263; loved
263; during
262; interesting
262; less
260; question
260; tired
260; wanted
260; missed
260; each
259; totally
258; drink
258; happen
257; list
256; using
256; comes
255; you'll
255; office
255; took
254; chance
254; online
253; wonder
252; close
251; bit
251; sick
251; gone
250; wonderful
250; women
249; hahaha
248; beer
248; either
248; c
248; weeks
247; k
247; fall
247; outside
247; listen
246; x
245; page
245; means
244; chicago
244; future
244; running
244; hello
242; lots
241; ago
240; different
240; yea
239; past
239; between
238; rest
237; tickets
237; reason
236; nd
236; ah
234; others
234; walk
234; visit
233; christmas
233; seems
233; info
233; beat
233; second
233; dog
233; dream
232; plan
231; rain
231; students
231; worth
230; turn
230; mine
228; art
228; writing
228; proud
227; stupid
226; mad
225; boys
225; ff
225; number
224; side
224; spring
223; share
223; dance
221; site
221; ugh
221; busy
221; three
221; austin
220; wasn't
220; till
220; college
219; ill
218; dm
217; pay
216; blog
216; service
215; cold
215; understand
214; drive
214; single
214; who's
214; easy
214; able
213; trip
213; park
213; vs
213; men
213; appreciate
212; power
211; water
211; via
211; ppl
211; kid
210; deal
210; yay
209; bar
209; tho
209; matter
209; giving
208; ain't
208; thx
208; website
208; club
207; young
207; you've
206; under
206; cuz
205; green
205; instead
205; lets
204; against
204; san
204; success
204; huge
204; app
204; weird
203; finished
202; dear
201; sound
201; project
201; voice
201; nyc
200; knew
199; fine
198; band
198; town
197; account
196; shout
196; eyes
196; film
195; john
195; couple
195; american
194; woman
194; store
194; lady
193; shows
193; dad
193; mention
193; thursday
192; sign
192; group
192; em
192; catch
191; safe
191; write
191; experience
190; wine
190; small
189; won
188; forever
188; fire
188; date
188; body
188; works
187; lose
187; starts
187; tweeting
187; fast
187; important
187; anymore
187; couldn't
186; google
186; living
186; series
186; dc
186; picture
185; street
185; become
185; history
185; fight
185; dead
184; order
184; y'all
184; wouldn't
183; conference
183; die
183; gave
183; books
183; final
182; happened
182; album
182; wit
182; smile
182; bet
181; short
181; hand
181; library
181; radio
180; local
180; behind
180; wear
180; eating
179; kinda
179; sun
179; add
179; aren't
178; public
178; interested
178; sucks
177; light
177; followed
177; ones
177; tried
177; shot
176; everybody
